County,COUNTY_NAM,FIPS,% Low birthweight,Teen Birth Rate,Preventable Hospitalization Rate,% With Annual Mammogram,% Children in Poverty,Injury Death Rate,Life Expectancy,Age-adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Drug Overdose Mortality Rate,ELA Average Grade Performance,Math Average Grade Performance,Median Household Income,Homicide Rate,Suicide Rate,Firearm Fatalities Rate,COVID-19 death rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,% Insufficient Sleep,% Disconnected Youth,School_Segregation,Spending per-pupil,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,% Enrolled in Free or Reduced Lunch,Res_BW_Segregation,Res_WNW_Segregation,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic white,Pct_Other,% rural,% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,% Completed High School,% Some College,% Unemployed,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
Cambria,CAMBRIA,42021,8.87,18.11,5518,45,16.1,133.36,75.81,448.99,45.9,6.63,49.92,3.07,3.08,48653,4.93,19.02,16.25,118.67,13.7,16.7,9.2,128.6,13.5,6.35,41.3,5.03,0.27,14140.54,37115,47971,0.77,50.66,69.83,54.35,23.59,74.74,9.78,77.93,128672,19,23.73,3.59,0.15,0.54,0.05,1.76,92.32,1.59,32.01,19.3,21.9,35.4,7.6,20.08,23.08,5.77,92.01,64.83,9.54,26.74,169.1,8.4,11.62
Cameron,CAMERON,42023,8.36,28.95,4676,50,22,70.99,78.2,382.86,,,,3.8,3.54,46151,,,,,14.7,17.6,9.5,,14.2,3.02,40.45,,,17618,34432,41613,0.83,33.71,,49.63,,67.14,11.64,75.71,4330,17.14,29.26,0.69,0.44,0.46,0.07,1.59,95.57,1.18,47.35,20.6,24.7,37,7.8,20.51,0,6.1,91.28,57.43,12.57,34.29,126.4,6.8,10.99
Carbon,CARBON,42025,8.46,17.5,4328,44,18.9,128.78,76.24,422.74,42.69,,47.28,3.09,2.99,60593,3.35,26.54,21.57,88.97,13.3,16,9,253.3,11.7,1.83,40.08,10.12,0.05,14716.8,40968,50564,0.81,48.17,64.55,36.26,13.33,74.94,12.72,83.09,64081,18.95,22.17,1.89,0.39,0.61,0.1,5.72,90.52,0.77,47.16,19.2,21.7,34.8,8.4,19.78,20,6.71,89.72,56.15,9.77,22.49,248.85,8.3,14.08
Centre,CENTRE,42027,5.82,2.69,3500,56,9.4,45.14,82.51,211.16,31.89,3.76,8.42,3.42,3.46,62795,1.06,11.36,6.54,73.24,12.4,14.6,8.8,144.3,9.3,3.08,37.42,1.19,0.1,17021.5,45264,55780,0.81,24.52,56.56,43.49,7.59,62.45,17.4,83.48,161496,14.8,15.48,3.64,0.17,6.27,0.09,3.04,85.45,1.34,32.22,17.1,19,32.1,8.7,19.6,26.56,8.17,94.49,75.39,5.84,13.68,88.62,8.7,17.72
Chester,CHESTER,42029,6.52,6.19,3723,45,5.8,62.5,81.24,238.94,30.26,4.27,25.1,3.5,3.47,107491,1.43,11.6,6.59,80.69,9.6,12.4,7.4,121.9,6.3,6.19,32.8,4.03,0.13,16409.92,60782,82552,0.74,25.62,47.78,34.67,9.65,74.99,11.16,90.53,526759,22.32,17.3,5.65,0.31,6.53,0.07,7.56,78.4,1.48,13.28,13.7,13.7,29.3,9,18.6,28.74,5.9,94.28,78.19,6.44,14.5,135.49,8.8,13.27
Clarion,CLARION,42031,6.27,11.82,3654,47,15.2,81.04,77.5,380.61,55.4,7.61,22.51,3.27,3.35,52642,,20.96,17.14,78.39,14.4,17.1,9.2,210.2,13.3,5.95,39.19,10.16,0.11,15930.14,36210,46877,0.77,44.07,68.39,41,19.38,69.52,11,79.75,38305,18.86,20.74,1.15,0.25,0.72,0.03,1.13,95.77,0.95,76.56,20.2,23.3,35.8,7.7,20.54,25,8.17,90.56,56.69,8.23,16.99,127.79,8.2,12.1
Clearfield,CLEARFIELD,42033,8.3,20.73,4716,54,19.9,91.31,77.24,374.78,67.77,7.12,25.29,3.09,3.11,48794,2.14,21.66,16.85,40.8,14.4,16.8,9.8,112.6,13,5.79,42.88,8.28,0.05,16082.86,35674,45794,0.78,61.86,71.96,25.91,,77.42,9.94,75.66,78612,17.99,21.41,2.6,0.24,0.65,0.03,3.13,92.68,0.67,53.85,21.6,23.7,37.7,7.7,18.86,19.12,7.15,88.09,49.55,9.2,20.61,265.92,8.1,11.26
Clinton,CLINTON,42035,6.67,14.04,3567,50,18.2,73.9,77.99,365.29,57.93,,11.28,2.9,2.96,54652,,16.01,14.47,50.24,14.2,17.2,9.3,93.3,13.3,3.44,40.65,10.14,0.05,16362,36549,46342,0.79,50.09,75.15,25.1,21.08,69.64,11.2,78.11,37957,20.1,19.63,1.42,0.21,0.72,0.07,1.77,94.89,0.92,45.69,20.1,23.1,34,7.9,20.35,24.24,7.26,89.78,48.83,8.71,17.23,154.73,7.6,11.39
Columbia,COLUMBIA,42037,8.26,9.32,2785,48,13.2,83.02,78.3,364.72,36.94,,28.68,3.24,3.42,56176,3.25,19.01,15.87,80.67,13.6,16.5,9.1,184.1,11.7,2.6,39.63,5.84,0.08,16228,40033,49302,0.81,41.02,50.16,30.13,16,68.24,10.71,81.44,64842,17.5,20.37,1.71,0.24,1.15,0.07,3.27,92.74,0.82,40.85,19.1,22.1,35.1,8.3,19.39,20.59,6.6,90.84,61.5,8.11,19.97,173.93,8,11
Crawford,CRAWFORD,42039,8.01,18.3,3620,51,18.3,92.3,77.01,383.15,69.93,7.81,29.2,2.88,2.9,52372,2.34,18.59,12.45,69.87,14.1,17.1,9.1,89.7,12.4,4.06,40.26,9.34,0.07,15261,36641,47592,0.77,53.24,73.34,42.49,17.04,72.77,8.98,80.15,83697,20.41,21.85,1.89,0.26,0.6,0.03,1.46,94.64,1.12,63.7,19.9,23.9,33,8,19.54,42,8.62,89.85,50.04,8.88,20.95,96.62,8.6,12.41
Cumberland,CUMBERLAND,42041,7.23,9.41,2869,52,8.8,64.88,80.08,286,39.96,5.12,19.59,3.33,3.38,69546,1.54,11.61,8.5,83.58,11.2,13.8,8.1,135.2,8.1,5.28,36.53,4.61,0.08,14003.29,50070,58980,0.85,31.81,50.65,35.19,18.42,69.71,9.82,87.11,255857,20.34,19.22,4.36,0.24,5.1,0.06,4.59,83.77,1.88,22.18,15.9,17.5,34.5,8.8,21.58,23.36,6.85,92.88,70.56,6.66,18.09,86.29,9.8,11.03
Dauphin,DAUPHIN,42043,9.47,22.88,3901,48,15.5,87.82,78.18,366.77,58.49,7.17,36.28,2.9,2.89,63265,6.84,13.34,11.77,88.23,12.7,14.5,9.6,510.6,9.7,8.48,38.72,4.54,0.17,15387.45,43489,53692,0.81,63.84,57.28,46.5,31.54,63.36,12.38,84.52,279874,22.41,17.78,17.16,0.48,5.94,0.11,10.39,63.55,2.37,13.32,19.2,18.9,35.3,8.1,18.96,23.61,7.73,91,66.09,8.84,31.42,402.83,8.8,14.38
Delaware,DELAWARE,42045,8.83,10.96,3793,43,11.4,87.75,78.01,362.17,51.14,7.07,37.63,3.09,3,75174,8.02,12.34,11.92,126.29,11.4,13.8,8.9,334.5,8.5,2.38,37.94,6.95,0.3,17785.2,51938,65275,0.8,52.87,73.28,59.94,19.77,68.67,14.97,88.25,566753,21.93,17.28,22.27,0.23,6.41,0.06,4.29,64.87,1.87,0.46,16.8,17.2,32.1,9,20.24,27.07,6.26,93.16,70.71,9.14,27.99,396.07,11.9,16.02
Elk,ELK,42047,7.38,18.05,4406,53,10.7,124.37,78.42,352.48,47.62,,24.53,3.35,3.41,52952,,22.6,15.3,39.21,12.9,16,8.5,50.2,10.7,4.72,38.92,,0.03,15465.67,35710,48818,0.73,46.53,54.75,46.31,10.74,78.45,5.9,79.23,29607,19.07,23.11,0.43,0.21,0.39,0.02,0.86,97.19,0.9,55.68,17.9,22.8,35.4,8.3,20.39,30.77,5.81,93.01,60.98,12.3,22.81,106.5,7.4,6.74
